сила / власть / энергия,power
меч,sword
хмыкать,grunt
мямлить,mumble
усмехаться,scoff
уделять внимание,pay attention
коварный,treacherous
шептать,whisper
тропа,path
богатый,rich
достигнуть,reach
повстанец,rebel
восстание,rebellion
мятеж,insurgency
яркий,bright
победить,defeat
освободить,liberate
обещать,promise
полный,full
быть заполненным,to be full of
свирепый,vicious
злой / жестокий,violent
провокатор,instigator
брать в плен,take out
шанс,chance
осторожно / берегись,watch out
кричать,scream
серьёзный,serious
кричать,yell
развлекаться,hang out
появляться,show up
низкий,low
даже,even
свисать,hang down
успех,success
успешный,successful
следует,should
предатель,betrayal
предавать,betray
старший,senior
всё ещё,still
тянуть,pull
настолько / так,such
такие как,such as
по-детски,childish
незрелый,immature
когда-нибудь,ever
только что,just
уже,already
ещё нет,yet
ткач,weaver
тишина,silence
легкомысленный,flippant
выбрать,elect
честь,honor
вторжение,invasion
крепость,fortress
долг,duty
уважение,respect
доказать,prove
поднимать / растить,raise
с того момента как,since
в течении,for
достаточно,enough
слишком,too
разочаровать,disappoint
ослушаться,disobey
приказ,order
бой,combat
отступать,retreat
деревня,village
безрассудный,reckless
другой,other
предполагается,to be supposed to
против,against
довольно,pretty
скоро,soon
защищать,defend
смущать,embarrass
повысить,promote
шутить,kid
великолепно,awesome
захватить,conquer
взорвать,blow up
горький,bitter
целый / весь,entire
страх,fright
восстановить,restore
почти,almost
безумный,mad
осада,siege
лапы,clutches
смысл,sense
проверить,check out
храпеть,snore
выяснить,figure out
неправильно,wrong
странный,weird
вина,behalf
прикрыть,cover
перед,before
загрузить,overload
ранить,hurt
светлый,light
надежда,hope
связь,connection
взять в плен,capture
шпион,spy
собираться,to be going to
впечатлить,impress
доверять,trust
сомневаться,freak out
следовать,follow
знание,knowledge
действительно,actually
разрушать,destroy
остальные,the rest of
яд,poison
спасать,rescue
вспышка,flash
