зловещий,unheilvoll
звук,der Klang
упорный,hartnäckig
доверять,vertrauen
линейный,linear
вечный,ewig
равномерный,gleichförmig
продвигаться,vorschreiten
различие,die Unterscheidung
прошлое,die Vergangenheit
настоящее,die Gegenwart
следовать,folgen
связать,verbinden
трещать,krachen
хрипеть,röcheln
задыхаться,keuchen
облегчить,erleichtern
вздох,das Aufatmen
секрет,das Geheimis
электричество,der Strom
вздыхать,seufzen
собрание,die Versammlung
пещера,die Höhle
глухой,dumpf
шум / журчание,das Rauschen
гул,das Dröhnen
жужжать / гудеть,surren
участвовать,mitmachen
повеситься,erhängen
новость,die Nachricht
электростанция,das Kraftwerk
ковать / строить,schmieden
однако,allerdings
разрешать,bewilligen
закон,das Gesetz
правительство,die Regierung
постепенный,schrittweise
высадиться,aussteigen
редактор,der Meiler
сеть,das Netz
безотказный / бесперебойный,störungsfrei
эксплуатировать,betreiben
волшебник,der Zauberer
переодеваться,umziehen
капюшон,die Kapuze
топтать,trampeln
безумие,der Wahnsinn
расслабиться,entspannen
безопасный,sicher
сотрудник,der Beamte
исключить,ausschließen
преступление,die Straftat
представить / предложить,vorlegen
кусок / часть,das Stück
мрачный,düster
там,drin
двор,der Hof
курить,rauchen
потребность,der Bedarf
шина,der Reifen
поселение,die Siedlung
лиса,der Fuchs
экстренный вызов,der Notruf
бить,schlagen
звенеть,klingen
погашение кредита,die Kreditrückzahlung
перестать / назначить,aussetzen
отсрочка,der Aufschub
успокоить,beruhigen
просчитаться,verkalkulieren
вообще,überhaupt
исчезать,verschwinden
куча / груда,der Haufen
издеваться ,schikanieren
построить,aufbauen
начальство,der Vorgesetzen
дышать,atmen
дыра,das Loch
возникать,entstehen
рушиться,zusammenstürzen
задерживать,aufhalten
серьёзный / всерьёз,ernst
не на шутку,im Ernst
действительно,wirklich
сбежать,abhauen
убить,abmurksen
наркотики,das Dope
хранить,lagern
вещи / барахло / ерунда,das Zeug
чистый,rein
удалить / вынуть / устранить,entfernen
репутация / призыв / крик,der Ruf
на этот раз,diesmal
чёткий,deutlich
образ / облик,die Gestalt
огромный,riesig
понять / сообразить,begreifen
создавать,schaffen
медлить,zögern
ёмкость,die Kapazität
рынок,der Markt
путь,der Pfad
белка,das Eichhörnchen
покойник,der Tote
нога,das Bein
край / окраина / край,der Rand
смотреть / глядеть,gucken
оторваться,abgehen
таращить глаза,anglotzen
переподготовка,die Fortbildung
платить,zahlen
кандидат,der Bewerber
стонать,ächzen
завязать,verknoten
впоследствии,nachher
шрам,die Narbe
чувствовать,spüren
в некоторой степени,sozusagen
ткань,das Gewebe
затвердеть,verhärten
сжать,verkrampfen
внук,der Enkel
тошнить,kotzen
щека,die Backe
мера / мероприятие,die Maßnahme
смехотворный,lächerlich
радиус,der Umkreis
низкий,niedrig
взнос / скорость,die Rate
отпирать,entsperren
похитить,entführen
ведьма,die Hexe
плохой / скверный,schlimm
нить,der Strang
вскипятить,hochkochen
печать,der Kummer
стучать,pochen
опасный,bedrohlich
определение,die Definition
владение / обладание,der Besitz
господство,die Herrschaft
болтать,quatschen
мешок,der Beutel
гром,der Donner
хладнокровие,die Gelassenheit
непреложный,unabänderlich
терпеть,hinnehmen
мужество,der Mut
изменчивый,veränderlich
обе,beide
радио,der Funk
единица / подразделение,die Einheit
опушка,der Waldrand
рыдать / хныкать,schluchzen
