ужасный,awful
таким образом / так,so
трудный,difficult
такой / подобный,such
занятой,busy
защищать,defend
окончание / завершение,graduation
прошлый / прошедший,past
область / поле,field
вступление / вход,entrance
знание,knowledge
соревноваться,compete
конкурсный,copmetitive
иностранный / чужой,foreign
язык,language
управлять / суметь / справляться,manage
уверенный,sure
быть уверенным,be sure
кроме / за исключением,besides
посещать,attend
степень,degree
потому что / так как,because
размещение,disposal
изучать / узнавать,learn
определенный / некий,certain
конечно / несомненно,certainly
думать,think
принадлежать,belong
бежать / приводить в действие,run
совет,advice
консультант / советчик,adviser
одаренный,gifted
полезный,helpful
удобный,convenient
значить / иметь в виду,mean
значение,meaning
почтовое отделение,Post-office
книжный киоск,bookstall
удобства / оборудование,facility
в течение / для / так как / поскольку,for
справедливый / верный,just
как раз / именно,just (as)
до / перед / прежде чем,before
во время / на протяжении,during
получать / доставлять,obtain
статья,article
слышать,hear
солнце,sun
резюме / реферат,abstract
твердый / жесткий / трудный,hard (a.)
твердо / сильно / усиленно / усердно,hard (adv.)
дальний,far away
далеко,far
обеспечивать / снабжать,provide
если / при условии,provided
до тех пор,till
пока не,until
если не,unless
случай,case
в случае,in case
вскоре,soon
