конечно / разумеется,of course
узнавать / признавать,recognize
точный,exact
радоваться,be glad
правильный / правый,right
половина,half
счастливый,lucky
управление,equation
помнить / вспоминать,remember
знакомый,familiar
должное,due (n.)
назначенный / надлежащий,due (a.)
поздравление,congratulation
хотя,though
достаточный,enough
разочаровывать,disappoint
назначение,disappointing
пара / соединять,couple
оставаться,stay
никогда,never
поворачивать / оборот / очередь,turn
оба,both
жениться / выйти за муж,marry
быть женатым,be married
муж,husband
хирург,surgeon
жена,wife
к сожалению,unfortunately
между тем / в то время как / пока,while
развивать,develop
выставка,exhidition
любовь / любить,love
беседа / беседовать / разговаривать,talk
слушать,listen
спорить / доказывать,argue
смех / смеяться,laugh
вместе,together
хранить / держать,keep
благодарить,thank
озеро,lake
лес,forest
конец недели,Week-end
наслаждаться / получать удовольствие,enjoy
отличный / превосходный,exellent
приблизительно / около,about
решено,agreed
позднейший / последний,latest
диссертация,thesis
